UF,Municipio,Mes/Ano de Referencia,Nome do Produto,Categoria,Preco Atual (R$),Preco Referencia Baseline (R$),Status do Semafaro (Cor),Previsao IA (Tendencia Futura),Usa Dado Fallback?,Usa Dado Interpolado?
SP,,2025-02,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2025-01,Tomate Caqui,LEGUMES,94.0210,94.1199,AMARELO,,Nao,Nao
SP,,2026-06,Tomate Carmem,LEGUMES,4.0900,4.0900,AMARELO,,Nao,Nao
SP,,2026-06,Tomate Debora,LEGUMES,3.7767,3.7767,AMARELO,,Nao,Nao
SP,,2026-07,Tomate Holandês,LEGUMES,10.9267,10.9267,AMARELO,,Nao,Nao
SP,,2026-06,Tomate Holandês,LEGUMES,12.7267,12.7267,AMARELO,,Nao,Nao
SP,,2025-09,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2025-01,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2026-02,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2026-01,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2025-03,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2025-04,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2025-05,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2025-06,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2025-07,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2025-08,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2026-05,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2026-04,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2026-03,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2025-10,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2025-11,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2025-02,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2025-12,Tomate Italiano - Pizzadoro,LEGUMES,97.5000,97.5000,AMARELO,,Nao,Nao
SP,,2026-07,Tomate Rasteiro,LEGUMES,3.3267,3.3267,AMARELO,,Nao,Nao
SP,,2026-06,Tomate Rasteiro,LEGUMES,4.7667,4.7667,AMARELO,,Nao,Nao
SP,,2026-06,Tomate Sweet Grape,LEGUMES,7.6500,7.6500,AMARELO,,Nao,Nao
SP,,2026-07,Tomate Sweet Grape,LEGUMES,7.3700,7.3700,AMARELO,,Nao,Nao
SP,,2026-07,Tomilho,VERDURAS,6.5500,6.5500,AMARELO,,Nao,Nao
SP,,2026-06,Tomilho,VERDURAS,6.3400,6.3400,AMARELO,,Nao,Nao
SP,,2026-06,Traira,PESCADOS,10.5200,10.5200,AMARELO,,Nao,Nao
SP,,2025-11,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.0800,1.2057,AMARELO,,Nao,Nao
SP,,2025-12,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.0900,1.2057,AMARELO,,Nao,Nao
SP,,2026-01,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.0700,1.2057,AMARELO,,Nao,Nao
SP,,2026-02,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.0500,1.2057,AMARELO,,Nao,Nao
SP,,2026-03,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.0500,1.2057,AMARELO,,Nao,Nao
SP,ITAPEVA-SP,2025-06,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.3800,1.2057,AMARELO,,Nao,Nao
SP,ITAPEVA-SP,2025-08,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.2700,1.2057,AMARELO,,Nao,Nao
SP,ITAPEVA-SP,2025-09,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.2200,1.2057,AMARELO,,Nao,Nao
SP,ITAPEVA-SP,2025-10,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.0800,1.2057,AMARELO,,Nao,Nao
SP,ITAPEVA-SP,2025-11,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.0800,1.2057,AMARELO,,Nao,Nao
SP,ITAPEVA-SP,2025-12,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.0900,1.2057,AMARELO,,Nao,Nao
SP,,2026-04,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.0700,1.2057,AMARELO,,Nao,Nao
SP,,2025-06,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.3800,1.2057,AMARELO,,Nao,Nao
SP,,2025-07,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.3200,1.2057,AMARELO,,Nao,Nao
SP,,2025-08,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.2700,1.2057,AMARELO,,Nao,Nao
SP,,2025-09,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.2200,1.2057,AMARELO,,Nao,Nao
SP,,2025-10,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.0800,1.2057,AMARELO,,Nao,Nao
SP,ITAPEVA-SP,2025-07,"TRIGO - MELHORADOR, PH 78, T",CEREAIS_GRAOS,1.3200,1.2057,AMARELO,,Nao,Nao
SP,,2026-06,Trilha,PESCADOS,5.9300,5.9300,AMARELO,,Nao,Nao
SP,,2026-07,Trilha,PESCADOS,10.7300,10.7300,AMARELO,,Nao,Nao
SP,,2026-07,Truta,PESCADOS,38.4400,38.4400,AMARELO,,Nao,Nao
SP,,2026-06,Truta,PESCADOS,37.9000,37.9000,AMARELO,,Nao,Nao
SP,,2026-07,Ume,LEGUMES,26.0000,26.0000,AMARELO,,Nao,Nao
SP,CAMPINAS-SP,2025-06,UVA - INDÚSTRIA NIÁGARA,FRUTAS,6.5200,5.7567,AMARELO,,Sim,Nao
SP,CAMPINAS-SP,2025-07,UVA - INDÚSTRIA NIÁGARA,FRUTAS,5.8900,5.7567,AMARELO,,Sim,Nao
SP,JALES-SP,2025-07,UVA - INDÚSTRIA NIÁGARA,FRUTAS,6.1300,7.0333,AMARELO,,Nao,Nao
SP,JALES-SP,2025-09,UVA - INDÚSTRIA NIÁGARA,FRUTAS,6.5000,7.0333,AMARELO,,Nao,Nao
SP,JALES-SP,2025-10,UVA - INDÚSTRIA NIÁGARA,FRUTAS,7.4800,7.0333,AMARELO,,Nao,Nao
SP,,2025-06,UVA - INDÚSTRIA NIÁGARA,FRUTAS,6.5300,7.2471,AMARELO,,Nao,Nao
SP,,2025-09,UVA - INDÚSTRIA NIÁGARA,FRUTAS,6.5000,7.2471,AMARELO,,Nao,Nao
SP,,2025-10,UVA - INDÚSTRIA NIÁGARA,FRUTAS,7.4800,7.2471,AMARELO,,Nao,Nao
SP,,2025-11,UVA - INDÚSTRIA NIÁGARA,FRUTAS,8.2100,7.2471,AMARELO,,Nao,Nao
SP,PORTO FELIZ-SP,2025-06,UVA - INDÚSTRIA NIÁGARA,FRUTAS,6.5400,7.5150,AMARELO,,Sim,Nao
SP,,2026-02,Uva Arra 15,FRUTAS,44.8700,39.1279,AMARELO,,Sim,Nao
SP,,2026-05,Uva Arra 15,FRUTAS,44.8700,39.1279,AMARELO,,Sim,Nao
SP,,2026-04,Uva Arra 15,FRUTAS,44.8700,39.1279,AMARELO,,Sim,Nao
SP,,2026-03,Uva Arra 15,FRUTAS,44.8700,39.1279,AMARELO,,Sim,Nao
SP,,2026-01,Uva Arra 15,FRUTAS,44.8700,39.1279,AMARELO,,Sim,Nao
SP,,2025-12,Uva Arra 15,FRUTAS,44.8700,39.1279,AMARELO,,Sim,Nao
SP,,2025-11,Uva Arra 15,FRUTAS,44.8700,39.1279,AMARELO,,Sim,Nao
SP,,2025-10,Uva Arra 15,FRUTAS,44.8700,39.1279,AMARELO,,Sim,Nao
SP,,2025-09,Uva Arra 15,FRUTAS,44.8700,39.1279,AMARELO,,Sim,Nao
SP,,2026-07,Uva Benitaka,FRUTAS,9.0650,9.0650,AMARELO,,Nao,Nao
SP,,2026-06,Uva Benitaka,FRUTAS,9.8350,9.8350,AMARELO,,Nao,Nao
SP,,2026-06,Uva Brasil,FRUTAS,10.0000,10.0000,AMARELO,,Nao,Nao
SP,,2026-06,Uva Centenial,FRUTAS,17.2067,17.2067,AMARELO,,Nao,Nao
SP,,2026-06,Uva Crimson Importada,FRUTAS,16.0000,16.0000,AMARELO,,Nao,Nao
SP,,2026-06,Uva Isabel,FRUTAS,17.2067,17.2067,AMARELO,,Nao,Nao
SP,,2026-06,Uva Isis,FRUTAS,10.0000,10.0000,AMARELO,,Nao,Nao
SP,,2026-07,Uva Isis,FRUTAS,13.3900,13.3900,AMARELO,,Nao,Nao
SP,,2026-06,Uva Italia,FRUTAS,17.2067,17.2067,AMARELO,,Nao,Nao
SP,,2026-07,Uva Italia,FRUTAS,15.0760,15.0760,AMARELO,,Nao,Nao
SP,,2026-06,Uva Melodia,FRUTAS,17.2067,17.2067,AMARELO,,Nao,Nao
SP,,2026-07,Uva Melodia,FRUTAS,10.6300,10.6300,AMARELO,,Nao,Nao
SP,,2026-06,Uva Niagara,FRUTAS,9.6100,9.6100,AMARELO,,Nao,Nao
SP,,2026-07,Uva Niagara,FRUTAS,15.0760,15.0760,AMARELO,,Nao,Nao
SP,,2026-07,Uva Passa Importada,FRUTAS,13.5100,13.5100,AMARELO,,Nao,Nao
SP,,2026-07,Uva Red Globe,FRUTAS,24.3400,24.3400,AMARELO,,Nao,Nao
SP,,2026-06,Uva Red Globe,FRUTAS,18.3950,18.3950,AMARELO,,Nao,Nao
SP,,2026-06,Uva Rubi,FRUTAS,17.2067,17.2067,AMARELO,,Nao,Nao
SP,,2026-07,Uva Rubi,FRUTAS,17.5033,17.5033,AMARELO,,Nao,Nao
SP,,2026-07,Uva Thompson,FRUTAS,16.1875,16.1875,AMARELO,,Nao,Nao
SP,,2026-06,Uva Thompson,FRUTAS,15.7000,15.7000,AMARELO,,Nao,Nao
SP,,2026-06,Uva Vitoria,FRUTAS,10.5550,10.5550,AMARELO,,Nao,Nao
SP,,2026-07,Uva Vitoria,FRUTAS,9.9950,9.9950,AMARELO,,Nao,Nao
SP,,2026-07,Vagem Macarrão,LEGUMES,7.3860,7.3860,AMARELO,,Nao,Nao
SP,,2026-06,Vagem Macarrão,LEGUMES,8.7100,8.7100,AMARELO,,Nao,Nao
SP,,2026-06,Xaréu,PESCADOS,9.9000,9.9000,AMARELO,,Nao,Nao
SP,,2026-06,Abacaxi Havai,FRUTAS,4.5800,10.0827,VERDE,,Nao,Nao
SP,,2026-01,ARROZ - LONGO FINO TIPO 1 58,CEREAIS_GRAOS,1.0900,1.2943,VERDE,,Nao,Nao
SP,GUARATINGUETÁ-SP,2025-12,ARROZ - LONGO FINO TIPO 1 58,CEREAIS_GRAOS,1.1000,1.2943,VERDE,,Nao,Nao
SP,,2025-12,ARROZ - LONGO FINO TIPO 1 58,CEREAIS_GRAOS,1.1000,1.2943,VERDE,,Nao,Nao
SP,,2026-02,ARROZ - LONGO FINO TIPO 1 58,CEREAIS_GRAOS,1.0800,1.2943,VERDE,,Nao,Nao
