CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;RO        ;NORTE          ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;39,39
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;BA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,7
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;ES        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;32,92
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;PA        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,75
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;RO        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;31,82
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;BA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;21,75
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;ES        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,39
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;PA        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;20,65
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;RO        ;NORTE          ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;19,57
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;BA        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;21,53
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;ES        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,71
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;PA        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,0
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;RO        ;NORTE          ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;21,63
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;BA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;23,99
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;ES        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;24,29
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;PA        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;23,52
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;RO        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;23,9
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;BA        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;25,21
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;ES        ;SUDESTE        ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;22,0
CACAU CULTIVADO          ;NÃO INFORMADO       ;11953;PA        ;NORTE          ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;20,3
