TRATOR                   ;175 4X4 JOHN DEERE 7;5172;MG        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;715000,0
TRATOR                   ;120 JOHN DEERE 6310 ;10103;MG        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;465000,0
TRATOR                   ;75 4X4              ;10042;MG        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;245000,0
TRATOR                   ;140 CABINADO 4X4    ;11396;MG        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;700000,0
TRATOR                   ;115 CABINADO, SEM PI;13079;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;550000,0
TRATOR                   ;115 JOHN DEERE 6115-;13933;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;550000,0
TRATOR                   ;180 CABINADO TRAÇADO;13931;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;800000,0
TRATOR                   ;145 16X16 JOHN DEERE;10187;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;700000,0
TRATOR                   ;335 16X4 JOHN DEERE ;10087;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;1900000,0
TRATOR                   ;85 JOHN DEERE 5085 E;10416;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;233700,0
TRATOR                   ;335 16X4 JOHN DEERE ;10087;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;1571670,0
TRATOR                   ;225 4X4 JOHN DEERE 7;10821;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;626466,0
TRATOR                   ;140                 ;13308;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;462979,0
TRATOR                   ;180 CABINADO 4X4 JOH;12806;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;854015,0
TRATOR                   ;115 JOHN DEERE 6115E;11969;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;508100,0
TRATOR                   ;180 CABINADO 4X4 MAS;12860;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;536336,0
TRATOR                   ;110 CABINADO 4X4 JOH;12803;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;374667,0
TRATOR                   ;190 16X16 JOHN DEERE;11530;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;866582,0
TRATOR                   ;150 4X4 JOHN DEERE  ;12000;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;430153,0
TRATOR                   ;115 JOHN DEERE      ;11531;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;490244,5
TRATOR                   ;230 16X16 JOHN DEERE;11961;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;1007006,0
TRATOR                   ;175 CABINADO 4X4    ;12816;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;591600,0
TRATOR                   ;115 JOHN DEERE 6115B;11968;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;481070,0
TRATOR                   ;320 CABINADO 4X4 JOH;12859;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;1647607,0
TRATOR                   ;280 CABINADO 4X4    ;12822;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;592415,0
TRATOR                   ;240 COM PILOTO AUTOM;12022;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;1250000,0
TRATOR                   ;140 4X4             ;10504;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;760000,0
TRATOR                   ;480 4X4             ;14071;PI        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3200000,0
TRATOR                   ;100 JOHN DEERE      ;14689;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;400000,0
TRATOR                   ;130 JOHN DEERE      ;14761;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;550000,0
TRATOR                   ;80 CABINADO NEW HOLL;13662;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;270000,0
TRATOR                   ;80 4X4 VALTRA       ;12011;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;235000,0
TRATOR                   ;100                 ;11981;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;320000,0
TRATOR                   ;80                  ;12078;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;270000,0
TRATOR                   ;140                 ;13308;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;600000,0
TRATOR                   ;150 4X4 NEW HOLLAND ;12001;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;700000,0
TRATOR                   ;90 4X4 NEW HOLLAND  ;12002;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;300000,0
TRATOR                   ;180 CABINADO 4X4 JOH;12806;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;710000,0
TRATOR                   ;120 4X4             ;10261;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;420000,0
TRATOR                   ;120 4X4 NEW HOLLAND ;5176;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;420000,0
TRATOR                   ;100 4X4 NEW HOLLAND ;8375;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;330000,0
TRATOR                   ;120 4X4             ;10261;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;395000,0
