AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;245,0
AMPLIGO                  ;NÃO INFORMADO       ;10233;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;185,0
AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;286,44
AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;300,0
AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;245,0
AMPLIGO                  ;SC 50 G/L + 100 G/L ;10234;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;315,0
AMPLO                    ;BENZOTIADIAZINONA+IM;11538;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;135,0
AMPLO                    ;BENZOTIADIAZINONA+IM;11538;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;234,0
AMPLO                    ;BENZOTIADIAZINONA+IM;11538;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;179,5
AMPLO                    ;BENZOTIADIAZINONA+IM;11538;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;225,0
AMPLO                    ;BENZOTIADIAZINONA+IM;11538;PONTA GROSSA-PR                                   ;4119905                       ;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;235,51
AMPLO                    ;BENZOTIADIAZINONA+IM;11538;TAQUARITUBA-SP                                    ;3553807                       ;SP        ;SUDESTE        ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;204,0
