MUDA DE CAJU             ;CAJUEIRO ANÃO       ;12662;PALHANO-CE                                        ;2310001                       ;CE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,0
NATIVO                   ;200 G/l + 100 G/l TE;7359;SANTA RITA-PB                                     ;2513703                       ;PB        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;132,5
NATIVO                   ;200 G/l + 100 G/l TE;7359;LONDRINA-PR                                       ;4113700                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;99,74
NATIVO                   ;NÃO INFORMADO       ;7358;TRÊS CACHOEIRAS-RS                                ;4321667                       ;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;82,0
NATIVO                   ;200 G/l + 100 G/l TE;7359;CORUPÁ-SC                                         ;4204509                       ;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;106,96
NATIVO                   ;200 G/l + 100 G/l TE;7359;FREI ROGÉRIO-SC                                   ;4205555                       ;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;101,0
NATIVO                   ;NÃO INFORMADO       ;7358;SÃO JOSÉ DO RIO PRETO-SP                          ;3549805                       ;SP        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;111,0
NATIVO                   ;200 G/l + 100 G/l TE;7359;PEDRO AFONSO-TO                                   ;1716505                       ;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;111,3
NATIVO                   ;200 G/l + 100 G/l TE;7359;SANTA RITA-PB                                     ;2513703                       ;PB        ;NORDESTE       ;2026;4;PREÇO PAGO PELO PRODUTOR                                    ;132,5
NATUR'L OLEO             ;930 ML/L ÓLEO VEGETA;10534;COLATINA-ES                                       ;3201506                       ;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;18,72
NATUR'L OLEO             ;930 ML/L ÓLEO VEGETA;10534;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;18,72
NEMAT                    ;MICROBIOLÓGICO 300 G;13571;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;186,39
NEMAT                    ;MICROBIOLÓGICO 300 G;13571;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;184,01
NEMAT                    ;MICROBIOLÓGICO 300 G;13571;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;188,09
NEXIDE                   ;CS 150 G/L GAMA CIAL;10133;UNAÍ-MG                                           ;3170404                       ;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;448,76
NHT MANGANES             ;GRUPO BIO SOJA      ;13953;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;41,0
NHT MANGANES             ;GRUPO BIO SOJA      ;13953;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;38,0
NHT MANGANES             ;GRUPO BIO SOJA      ;13953;RIO VERDE-GO                                      ;5218805                       ;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;25,0
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;89,24
NICOSULFURON             ;NORTOX 40 SC 40 G/L ;8690;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;115,0
