CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,28
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CHAPADÃO DO CÉU-GO                                ;5205471                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,01
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;ATACADO                                                     ;1,32
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,32
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,35
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;BAIXA GRANDE DO RIBEIRO-PI                        ;2201150                       ;PI        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,33
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,33
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,22
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CHAPADÃO DO CÉU-GO                                ;5205471                       ;GO        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,02
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,3
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;1,3
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;TASSO FRAGOSO-MA                                  ;2112001                       ;MA        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,0
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,35
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;BAIXA GRANDE DO RIBEIRO-PI                        ;2201150                       ;PI        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,13
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,13
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,42
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CHAPADÃO DO CÉU-GO                                ;5205471                       ;GO        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,01
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;9;ATACADO                                                     ;1,3
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,3
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;TASSO FRAGOSO-MA                                  ;2112001                       ;MA        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,1
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,35
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;BAIXA GRANDE DO RIBEIRO-PI                        ;2201150                       ;PI        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,28
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,28
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;DIANÓPOLIS-TO                                     ;1707009                       ;TO        ;NORTE          ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,25
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;BARREIRAS-BA                                      ;2903201                       ;BA        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,32
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CHAPADÃO DO CÉU-GO                                ;5205471                       ;GO        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,97
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,3
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;10;ATACADO                                                     ;1,3
CAROCO DE ALGODAO        ;NÃO INFORMADO       ;4724;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,26
