produto;classificao_produto;id_produto;nom_municipio;cod_ibge;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;TASSO FRAGOSO-MA                                  ;2112001                       ;MA        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,67
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;PATOS DE MINAS-MG                                 ;3148004                       ;MG        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,84
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;CHAPADÃO DO SUL-MS                                ;5002951                       ;MS        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,4
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,22
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;CAMPO VERDE-MT                                    ;5102678                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,32
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;LUCAS DO RIO VERDE-MT                             ;5105259                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,23
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;PRIMAVERA DO LESTE-MT                             ;5107040                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,33
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;RONDONÓPOLIS-MT                                   ;5107602                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,34
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;SAPEZAL-MT                                        ;5107875                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,22
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE   ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,23
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;BAIXA GRANDE DO RIBEIRO-PI                        ;2201150                       ;PI        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,58
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;URUÇUÍ-PI                                         ;2211209                       ;PI        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,59
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;AVARÉ-SP                                          ;3504503                       ;SP        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,7
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;ORLÂNDIA-SP                                       ;3534302                       ;SP        ;SUDESTE        ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,68
ALGODAO EM PLUMA         ;TIPO BÁSICO - SLM 41;11182;DIANÓPOLIS-TO                                     ;1707009                       ;TO        ;NORTE          ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;8,0
ALHO                     ;COMUM               ;5361;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;19,25
ALHO                     ;COMUM               ;5361;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;10,0
ALHO                     ;NOBRE 5 EXTRA ROXO  ;7616;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;18,0
ALHO                     ;NACIONAL            ;5358;GOIÂNIA-GO                                        ;5208707                       ;GO        ;CENTRO-OESTE   ;2025;6;ATACADO                                                     ;22,0
ALHO                     ;NOBRE 6 EXTRA ROXO  ;7613;SÃO GOTARDO-MG                                    ;3162104                       ;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;26,5
ALHO                     ;NOBRE 4 EXTRA ROXO  ;7619;SÃO GOTARDO-MG                                    ;3162104                       ;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;21,63
ALHO                     ;NOBRE 5 EXTRA ROXO  ;7616;SÃO GOTARDO-MG                                    ;3162104                       ;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;24,0
ALHO                     ;NOBRE 7 COMERCIAL RO;7612;SÃO GOTARDO-MG                                    ;3162104                       ;MG        ;SUDESTE        ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,5
ALHO                     ;NOBRE               ;5362;CORNÉLIO PROCÓPIO-PR                              ;4106407                       ;PR        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;19,0
ALHO                     ;COMUM               ;5361;CRISTÓPOLIS-BA                                    ;2909703                       ;BA        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;20,0
ALHO                     ;COMUM               ;5361;BRASÍLIA-DF                                       ;5300108                       ;DF        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,01
ALHO                     ;COMUM               ;5361;CRISTALINA-GO                                     ;5206206                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;9,2
