Categoria,Produto,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
VERDURAS,Agrião,B,A,A,A,M,M,B,B,B,B,B,B
VERDURAS,Agrião Hidropônico,M,A,A,A,M,M,B,B,B,B,B,B
VERDURAS,Alecrim,B,B,B,B,M,B,A,M,M,M,B,M
VERDURAS,Alface Americana,M,A,M,M,B,B,B,B,B,B,M,A
VERDURAS,Alface Crespa,M,A,A,A,M,M,B,B,B,B,M,B
VERDURAS,Alface Crespa Hidropônica,M,A,A,A,M,M,B,B,B,B,M,M
VERDURAS,Alface Lisa,A,A,M,M,M,B,B,B,M,M,M,B
VERDURAS,Alface Lisa Hidropônica,B,B,B,B,M,B,M,A,M,M,M,B
VERDURAS,Alface Mimosa,A,A,M,B,M,B,B,B,B,M,B,B
VERDURAS,Alface Mimosa Hidropônica,M,B,B,B,M,B,M,A,M,M,M,B
VERDURAS,Alface Romana,A,B,B,B,M,B,M,A,M,M,M,B
VERDURAS,Alface Romana Hidropônica,B,B,B,B,B,M,B,B,A,M,M,B
VERDURAS,Alfavaca,M,M,B,B,M,A,A,A,M,M,M,M
VERDURAS,Alho Porro,B,B,M,M,A,M,A,M,B,M,B,A
VERDURAS,Almeirão,A,A,A,A,M,B,B,M,B,M,M,B
VERDURAS,Almeirão Hidropônico,B,B,M,B,M,M,M,A,A,A,A,A
VERDURAS,Almeirão Pão de Açucar,M,A,A,M,A,A,B,B,B,M,A,B
VERDURAS,Aspargo,M,B,B,M,M,M,M,B,B,B,A,M
VERDURAS,Beterraba com Folhas,M,B,B,B,B,B,M,A,A,A,A,M
VERDURAS,Brócolos Ninja,B,B,B,B,B,B,M,A,A,A,M,M
VERDURAS,Brócolos Ramoso,B,B,B,B,M,A,A,A,M,B,B,B
VERDURAS,Broto de Alfafa,M,M,B,B,M,A,A,A,A,M,A,M
VERDURAS,Capim Cidreira,B,B,B,B,B,B,M,A,A,M,B,B
VERDURAS,Catalonha,M,M,A,A,A,A,A,A,A,M,M,B
VERDURAS,Cebolete,B,B,B,B,B,B,B,B,M,A,A,A
VERDURAS,Cebolinha,M,B,A,A,A,M,A,A,M,M,M,B
VERDURAS,Cenoura com Folhas,M,B,M,B,M,B,A,M,A,A,A,M
VERDURAS,Chicória,A,B,M,B,M,B,B,A,M,M,M,B
VERDURAS,Coentro,B,B,B,B,B,M,A,A,A,B,A,A
VERDURAS,Cogumelo Eryngui,B,B,B,B,B,M,A,M,M,M,M,M
VERDURAS,Cogumelo Hiratake,M,B,B,M,B,B,M,M,M,M,B,A
