FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;8;VAREJO                                                      ;4,76
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;BELÉM-PA                                          ;1501402                       ;PA        ;NORTE          ;2025;8;ATACADO                                                     ;4,63
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;8;ATACADO                                                     ;4,35
FARINHA DE TRIGO         ;COM FERMENTO        ;14896;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;8;VAREJO                                                      ;4,8
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;JOÃO PESSOA-PB                                    ;2507507                       ;PB        ;NORDESTE       ;2025;8;VAREJO                                                      ;4,52
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;8;ATACADO                                                     ;3,96
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RECIFE-PE                                         ;2611606                       ;PE        ;NORDESTE       ;2025;8;VAREJO                                                      ;4,18
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;8;ATACADO                                                     ;5,13
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE       ;2025;8;VAREJO                                                      ;5,4
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;CURITIBA-PR                                       ;4106902                       ;PR        ;SUL            ;2025;8;VAREJO                                                      ;4,06
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;PINHAIS-PR                                        ;4119152                       ;PR        ;SUL            ;2025;8;ATACADO                                                     ;3,57
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;8;VAREJO                                                      ;4,63
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;RIO DE JANEIRO-RJ                                 ;3304557                       ;RJ        ;SUDESTE        ;2025;8;ATACADO                                                     ;3,73
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;8;VAREJO                                                      ;4,98
FARINHA DE TRIGO         ;SEM FERMENTO        ;14895;NATAL-RN                                          ;2408102                       ;RN        ;NORDESTE       ;2025;8;ATACADO                                                     ;4,21
