CARNE DE FRANGO          ;CONGELADO           ;4244;SP        ;SUDESTE        ;2025;7;ATACADO                                                     ;9,93
CARNE DE FRANGO          ;CONGELADO           ;4244;BA        ;NORDESTE       ;2025;8;VAREJO                                                      ;9,96
CARNE DE FRANGO          ;CONGELADO           ;4244;GO        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;9,91
CARNE DE FRANGO          ;CONGELADO           ;4244;MG        ;SUDESTE        ;2025;8;VAREJO                                                      ;8,86
CARNE DE FRANGO          ;CONGELADO           ;4244;MG        ;SUDESTE        ;2025;8;ATACADO                                                     ;9,36
CARNE DE FRANGO          ;CONGELADO           ;4244;MT        ;CENTRO-OESTE   ;2025;8;ATACADO                                                     ;11,29
CARNE DE FRANGO          ;CONGELADO           ;4244;PA        ;NORTE          ;2025;8;ATACADO                                                     ;10,27
CARNE DE FRANGO          ;CONGELADO           ;4244;PE        ;NORDESTE       ;2025;8;VAREJO                                                      ;12,48
CARNE DE FRANGO          ;RESFRIADO           ;4249;PE        ;NORDESTE       ;2025;8;VAREJO                                                      ;11,87
CARNE DE FRANGO          ;CONGELADO           ;4244;PR        ;SUL            ;2025;8;VAREJO                                                      ;12,24
CARNE DE FRANGO          ;CONGELADO           ;4244;RS        ;SUL            ;2025;8;VAREJO                                                      ;13,0
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SC        ;SUL            ;2025;8;ATACADO                                                     ;11,38
CARNE DE FRANGO          ;CONGELADO           ;4244;SP        ;SUDESTE        ;2025;8;VAREJO                                                      ;9,99
CARNE DE FRANGO          ;CONGELADO           ;4244;SP        ;SUDESTE        ;2025;8;ATACADO                                                     ;9,22
CARNE DE FRANGO          ;CONGELADO           ;4244;GO        ;CENTRO-OESTE   ;2025;9;ATACADO                                                     ;9,11
CARNE DE FRANGO          ;CONGELADO           ;4244;MG        ;SUDESTE        ;2025;9;ATACADO                                                     ;9,08
CARNE DE FRANGO          ;CONGELADO           ;4244;MT        ;CENTRO-OESTE   ;2025;9;ATACADO                                                     ;11,08
CARNE DE FRANGO          ;CONGELADO           ;4244;PA        ;NORTE          ;2025;9;ATACADO                                                     ;9,84
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SC        ;SUL            ;2025;9;ATACADO                                                     ;10,9
CARNE DE FRANGO          ;CONGELADO           ;4244;SP        ;SUDESTE        ;2025;9;ATACADO                                                     ;9,0
CARNE DE FRANGO          ;CONGELADO           ;4244;GO        ;CENTRO-OESTE   ;2025;10;ATACADO                                                     ;9,41
CARNE DE FRANGO          ;CONGELADO           ;4244;MG        ;SUDESTE        ;2025;10;ATACADO                                                     ;8,84
CARNE DE FRANGO          ;CONGELADO           ;4244;MT        ;CENTRO-OESTE   ;2025;10;ATACADO                                                     ;10,79
CARNE DE FRANGO          ;CONGELADO           ;4244;PA        ;NORTE          ;2025;10;ATACADO                                                     ;9,26
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SC        ;SUL            ;2025;10;ATACADO                                                     ;10,96
CARNE DE FRANGO          ;CONGELADO           ;4244;SP        ;SUDESTE        ;2025;10;ATACADO                                                     ;9,73
CARNE DE FRANGO          ;CONGELADO           ;4244;GO        ;CENTRO-OESTE   ;2025;11;ATACADO                                                     ;9,35
CARNE DE FRANGO          ;CONGELADO           ;4244;MG        ;SUDESTE        ;2025;11;ATACADO                                                     ;9,29
CARNE DE FRANGO          ;CONGELADO           ;4244;MT        ;CENTRO-OESTE   ;2025;11;ATACADO                                                     ;10,58
CARNE DE FRANGO          ;CONGELADO           ;4244;PA        ;NORTE          ;2025;11;ATACADO                                                     ;9,49
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SC        ;SUL            ;2025;11;ATACADO                                                     ;11,05
CARNE DE FRANGO          ;CONGELADO           ;4244;SP        ;SUDESTE        ;2025;11;ATACADO                                                     ;9,41
CARNE DE FRANGO          ;CONGELADO           ;4244;GO        ;CENTRO-OESTE   ;2025;12;ATACADO                                                     ;9,66
CARNE DE FRANGO          ;CONGELADO           ;4244;MG        ;SUDESTE        ;2025;12;ATACADO                                                     ;9,66
CARNE DE FRANGO          ;CONGELADO           ;4244;MT        ;CENTRO-OESTE   ;2025;12;ATACADO                                                     ;10,53
CARNE DE FRANGO          ;CONGELADO           ;4244;PA        ;NORTE          ;2025;12;ATACADO                                                     ;9,7
CARNE DE FRANGO          ;SEM MIÚDOS CONGELADA;11183;SC        ;SUL            ;2025;12;ATACADO                                                     ;10,74
CARNE DE FRANGO          ;CONGELADO           ;4244;SP        ;SUDESTE        ;2025;12;ATACADO                                                     ;9,81
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;25,5
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,24
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,12
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,45
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,35
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,0
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2025;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;30,11
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2026;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;27,25
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2026;2;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,25
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2026;3;PREÇO RECEBIDO P/ PRODUTOR                                  ;29,0
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2026;4;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,0
CARNE OVINA              ;CARCAÇA             ;11450;SE        ;NORDESTE       ;2026;5;PREÇO RECEBIDO P/ PRODUTOR                                  ;28,71
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;CE        ;NORDESTE       ;2025;6;ATACADO                                                     ;15,0
CARNE SUINA              ;CARCAÇA CONGELADA   ;11179;MG        ;SUDESTE        ;2025;6;ATACADO                                                     ;12,59
