ESTERCO DE GALINHA       ;NÃO INFORMADO       ;4463;ES        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;0,45
ESTERCO DE GALINHA       ;NÃO INFORMADO       ;4463;PE        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;0,26
ESTIMULANTE ETHREL PA    ;SOLÚVEL MANGA 240 G/;13141;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;310,0
ESTIMULANTE ETHREL PA    ;NÃO INFORMADO       ;8657;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;360,0
ESTIMULANTE ETHREL PA    ;100 G/KG ETEFON BAYE;8769;ES        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;360,0
ESTIMULANTE ETHREL PA    ;100 G/KG ETEFON BAYE;8769;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;360,0
ESTIMULANTE - SEVEN      ;NÃO INFORMADO       ;14633;AL        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;29,59
ESTIMULANTE - SEVEN      ;NÃO INFORMADO       ;14633;AL        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;29,59
ESTRADAS INTERNAS        ;COM CAIXA SECA      ;12493;ES        ;SUDESTE        ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;14600,0
ESTROVENGA               ;LEVE, SEM CABO      ;12411;PB        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;39,0
ESTRUTURA PARA ABASTECIME;TANQUE DIESEL 5000 L;13948;MS        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ESTRUTURA PARA ABASTECIME;NÃO INFORMADO       ;13947;TO        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;
ESTRUTURA PARA ABASTECIME;TANQUE DIESEL 5000 L;13948;MS        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ESTRUTURA PARA ABASTECIME;NÃO INFORMADO       ;13947;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;
ESTRUTURA PARA ABASTECIME;TANQUE DIESEL 5000 L;13948;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;
ESTRUTURA PARA ABASTECIME;NÃO INFORMADO       ;13947;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;40000,0
