GIRASSOL                 ;NÃO INFORMADO       ;4738;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;6;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,7
GIRASSOL                 ;NÃO INFORMADO       ;4738;ITUMBIARA-GO                                      ;5211503                       ;GO        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;7;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,7
GIRASSOL                 ;NÃO INFORMADO       ;4738;ITUMBIARA-GO                                      ;5211503                       ;GO        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;TUPACIGUARA-MG                                    ;3169604                       ;MG        ;SUDESTE        ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;8;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,75
GIRASSOL                 ;NÃO INFORMADO       ;4738;ITUMBIARA-GO                                      ;5211503                       ;GO        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;TUPACIGUARA-MG                                    ;3169604                       ;MG        ;SUDESTE        ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;9;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,74
GIRASSOL                 ;NÃO INFORMADO       ;4738;ITUMBIARA-GO                                      ;5211503                       ;GO        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;TUPACIGUARA-MG                                    ;3169604                       ;MG        ;SUDESTE        ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,96
GIRASSOL                 ;NÃO INFORMADO       ;4738;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,73
GIRASSOL                 ;NÃO INFORMADO       ;4738;ITUMBIARA-GO                                      ;5211503                       ;GO        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;TUPACIGUARA-MG                                    ;3169604                       ;MG        ;SUDESTE        ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
GIRASSOL                 ;NÃO INFORMADO       ;4738;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE   ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,95
GIRASSOL                 ;NÃO INFORMADO       ;4738;SÃO LUIZ GONZAGA-RS                               ;4318903                       ;RS        ;SUL            ;2025;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,79
GLADIUM                  ;NÃO INFORMADO       ;14565;FRANCISCO BELTRÃO-PR                              ;4108403                       ;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;1210,0
GLADIUM                  ;NÃO INFORMADO       ;14565;FRANCISCO BELTRÃO-PR                              ;4108403                       ;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;2000,0
